ClearML Task: created new task id=401bbfcbc0af4c71a858377587021747
ClearML results page: https://clearml.budda.site/projects/08d9e4b8a1334ad7ba45150d8a16b97e/experiments/401bbfcbc0af4c71a858377587021747/output/log
09:24:41  loading cache ['/mnt/nvme6t/e2e_calib_cache/zod_v3_tiled_clean_i', '/mnt/nvme6t/e2e_calib_cache/tss4_v3_tiled'] (V3 full-image)
09:24:41    perturbation: ±1.5 deg / ±0.6 m   fx/fy: ±0.00% / ±0.00%   crop_px=[128, 512] (full-image px → 128)
<unknown>:83: SyntaxWarning: invalid escape sequence '\s'
2026-05-14 09:25:49,689 - clearml.model - WARNING - Connecting multiple input models with the same name: `meta`. This might result in the wrong model being used when executing remotely
09:25:58    + cache /mnt/nvme6t/e2e_calib_cache/zod_v3_tiled_clean_i: train=2339520 val=37560
09:26:05    + cache /mnt/nvme6t/e2e_calib_cache/tss4_v3_tiled: train=223040 val=3920
09:26:05  train cache(s) loaded: 2562560 instances
09:26:05  val cache loaded: 41480 instances (oversample=1)
09:26:05  sequence-level split (cache pre-built): train=2562560 val=41480
09:26:05    val subsample: 8000/41480 (deterministic first-N)
09:26:05  params: 1.81M
09:26:05  amp_dtype=torch.bfloat16 scaler_enabled=False device=NVIDIA GeForce RTX 5080 cc=(12, 0)
cache: /mnt/nvme6t/e2e_calib_cache/zod_v3_tiled_clean_i  insts: 330000  scenes: 8250  rendering 30 → experiments/zod_tss4_20260514_joint_intensity_4ch_os8_100ep/vis_pretrain
  pre_00: idx=257541  scene=074287 frame=74287  N=247 obj=25
  step 1100  loss=+3.896  sps=1536
  step 1200  loss=+4.100  sps=1542
  step 1300  loss=+3.962  sps=1549
  step 1400  loss=+3.861  sps=1534
  step 1500  loss=+3.999  sps=1537
  step 1600  loss=+3.945  sps=1542
  step 1700  loss=+4.090  sps=1536
  step 1800  loss=+3.869  sps=1534
  step 1900  loss=+4.149  sps=1526
  step 2000  loss=+3.885  sps=1532
  step 2100  loss=+4.026  sps=1535
  step 2200  loss=+3.980  sps=1537
  step 2300  loss=+3.939  sps=1545
  step 2400  loss=+4.009  sps=1554
  step 2500  loss=+4.056  sps=1563
  step 2600  loss=+3.839  sps=1568
  step 2700  loss=+4.051  sps=1567
  step 2800  loss=+3.901  sps=1565
  step 2900  loss=+4.196  sps=1561
  step 3000  loss=+3.783  sps=1561
  step 3100  loss=+3.940  sps=1549
  step 3200  loss=+4.156  sps=1555
  step 3300  loss=+4.019  sps=1561
  step 3400  loss=+4.111  sps=1569
  step 3500  loss=+4.072  sps=1577
  step 3600  loss=+4.022  sps=1583
  step 3700  loss=+4.632  sps=1588
  step 3800  loss=+3.846  sps=1587
  step 3900  loss=+3.969  sps=1588
  step 4000  loss=+4.025  sps=1587
  step 4100  loss=+3.925  sps=1588
  step 4200  loss=+4.096  sps=1584
  step 4300  loss=+3.943  sps=1584
  step 4400  loss=+3.944  sps=1581
  step 4500  loss=+3.866  sps=1581
  step 4600  loss=+3.906  sps=1576
  step 4700  loss=+3.897  sps=1577
  step 4800  loss=+3.948  sps=1575
  step 4900  loss=+3.961  sps=1574
  step 5000  loss=+4.035  sps=1575
  step 5100  loss=+4.135  sps=1573
  step 5200  loss=+4.068  sps=1574
  step 5300  loss=+3.716  sps=1573
  step 5400  loss=+4.047  sps=1571
  step 5500  loss=+3.972  sps=1571
  step 5600  loss=+3.977  sps=1572
  step 5700  loss=+3.885  sps=1575
  step 5800  loss=+3.904  sps=1578
  step 5900  loss=+3.886  sps=1581
  step 6000  loss=+3.858  sps=1581
  step 6100  loss=+3.910  sps=1581
  step 6200  loss=+3.926  sps=1581
  step 6300  loss=+3.983  sps=1580
  step 6400  loss=+4.072  sps=1577
  step 6500  loss=+3.767  sps=1577
  step 6600  loss=+3.998  sps=1577
  step 6700  loss=+3.840  sps=1575
  step 6800  loss=+3.923  sps=1574
  step 6900  loss=+3.961  sps=1574
  step 7000  loss=+3.845  sps=1573
  step 7100  loss=+3.934  sps=1574
  step 7200  loss=+3.937  sps=1575
  step 7300  loss=+3.936  sps=1572
  step 7400  loss=+4.007  sps=1574
  step 7500  loss=+3.732  sps=1573
  step 7600  loss=+3.937  sps=1570
  step 7700  loss=+3.950  sps=1570
  step 7800  loss=+3.852  sps=1567
  step 7900  loss=+3.901  sps=1566
  step 8000  loss=+3.996  sps=1566
  step 8100  loss=+4.050  sps=1566
  step 8200  loss=+4.121  sps=1565
  step 8300  loss=+3.923  sps=1565
  step 8400  loss=+3.976  sps=1566
  step 8500  loss=+3.992  sps=1565
  step 8600  loss=+3.908  sps=1566
  step 8700  loss=+3.883  sps=1565
  step 8800  loss=+3.944  sps=1565
  step 8900  loss=+3.998  sps=1566
  step 9000  loss=+3.889  sps=1566
  step 9100  loss=+3.702  sps=1565
  step 9200  loss=+4.335  sps=1565
  step 9300  loss=+4.024  sps=1563
  step 9400  loss=+3.964  sps=1561
  step 9500  loss=+3.794  sps=1563
  step 9600  loss=+3.896  sps=1565
  step 9700  loss=+4.039  sps=1567
  step 9800  loss=+4.057  sps=1569
  step 9900  loss=+3.768  sps=1570
  step 10000  loss=+3.834  sps=1572
12:08:24  [  6/100]  train nll=+3.979(pt=+3.979 fr=+nan obj=+4.086 bg=+3.969) mse=6.57(obj=7.17/m5.00/95p20.4 bg=6.51/m4.98/95p16.6)  val nll=+3.932(pt=+3.932 fr=+nan obj=+3.999 bg=+3.919) mse=6.43(obj=6.83/m4.60/95p20.0 bg=6.35/m4.82/95p16.4)  lr=3.00e-04  tot=162.3min
  step 100  loss=+3.875  sps=1335
  step 200  loss=+3.982  sps=1410
  step 300  loss=+3.885  sps=1467
  step 400  loss=+4.024  sps=1478
  step 500  loss=+3.758  sps=1487
  step 600  loss=+3.872  sps=1478
  step 700  loss=+3.964  sps=1470
  step 800  loss=+3.696  sps=1491
  step 900  loss=+3.871  sps=1486
  step 1000  loss=+3.812  sps=1492
  step 1100  loss=+3.832  sps=1486
  step 1200  loss=+3.831  sps=1498
  step 1300  loss=+4.000  sps=1496
  step 1400  loss=+3.880  sps=1490
  step 1500  loss=+3.827  sps=1486
  step 1600  loss=+4.055  sps=1490
  step 1700  loss=+3.975  sps=1497
  step 1800  loss=+3.930  sps=1491
  step 1900  loss=+3.758  sps=1491
  step 2000  loss=+3.914  sps=1494
  step 2100  loss=+3.819  sps=1494
  step 2200  loss=+3.904  sps=1495
  step 2300  loss=+3.817  sps=1500
  step 2400  loss=+3.897  sps=1498
  step 2500  loss=+3.945  sps=1500
  step 2600  loss=+3.993  sps=1500
  step 2700  loss=+3.834  sps=1503
  step 2800  loss=+3.939  sps=1505
  step 2900  loss=+3.888  sps=1508
  step 3000  loss=+3.844  sps=1512
  step 3100  loss=+3.902  sps=1519
  step 3200  loss=+3.744  sps=1527
  step 3300  loss=+3.871  sps=1534
  step 3400  loss=+3.914  sps=1543
  step 3500  loss=+3.852  sps=1550
  step 3600  loss=+3.946  sps=1554
  step 3700  loss=+3.831  sps=1551
  step 3800  loss=+3.951  sps=1552
  step 3900  loss=+3.953  sps=1548
  step 4000  loss=+3.766  sps=1547
  step 4100  loss=+3.934  sps=1544
  step 4200  loss=+3.669  sps=1541
  step 4300  loss=+3.818  sps=1540
  step 4400  loss=+3.952  sps=1544
  step 4500  loss=+4.050  sps=1549
  step 4600  loss=+4.028  sps=1554
  step 4700  loss=+3.863  sps=1558
  step 4800  loss=+3.926  sps=1556
  step 4900  loss=+3.841  sps=1558
  step 5000  loss=+3.966  sps=1562
  step 5100  loss=+3.920  sps=1567
  step 5200  loss=+3.830  sps=1566
  step 5300  loss=+3.836  sps=1569
  step 5400  loss=+3.695  sps=1571
  step 5500  loss=+3.741  sps=1570
  step 5600  loss=+3.781  sps=1569
  step 5700  loss=+3.674  sps=1569
  step 5800  loss=+3.931  sps=1571
  step 5900  loss=+3.675  sps=1569
  step 6000  loss=+4.230  sps=1569
  step 6100  loss=+3.691  sps=1569
  step 6200  loss=+3.862  sps=1567
  step 6300  loss=+3.697  sps=1567
  step 6400  loss=+3.945  sps=1567
  step 6500  loss=+3.889  sps=1568
  step 6600  loss=+3.976  sps=1566
  step 6700  loss=+3.989  sps=1566
  step 6800  loss=+3.891  sps=1565
  step 6900  loss=+3.789  sps=1563
  step 7000  loss=+3.861  sps=1564
  step 7100  loss=+3.895  sps=1562
  step 7200  loss=+3.950  sps=1560
  step 7300  loss=+3.887  sps=1561
  step 7400  loss=+3.737  sps=1560
  step 7500  loss=+3.797  sps=1560
  step 7600  loss=+3.784  sps=1559
  step 7700  loss=+3.763  sps=1559
  step 7800  loss=+3.804  sps=1560
  step 7900  loss=+4.084  sps=1559
  step 8000  loss=+3.978  sps=1559
  step 8100  loss=+3.710  sps=1559
  step 8200  loss=+3.867  sps=1558
  step 8300  loss=+3.756  sps=1558
  step 8400  loss=+3.731  sps=1559
  step 8500  loss=+3.854  sps=1558
  step 8600  loss=+3.937  sps=1558
  step 8700  loss=+3.704  sps=1557
  step 8800  loss=+3.809  sps=1556
  step 8900  loss=+3.809  sps=1555
  step 9000  loss=+3.828  sps=1555
  step 9100  loss=+3.946  sps=1555
  step 9200  loss=+3.848  sps=1556
  step 9300  loss=+3.700  sps=1558
  step 9400  loss=+3.865  sps=1561
  step 9500  loss=+3.775  sps=1563
  step 9600  loss=+3.934  sps=1562
  step 9700  loss=+3.751  sps=1563
  step 9800  loss=+3.841  sps=1561
  step 9900  loss=+3.804  sps=1562
  step 10000  loss=+3.805  sps=1565
12:35:47  [  7/100]  train nll=+3.856(pt=+3.856 fr=+nan obj=+3.951 bg=+3.847) mse=6.23(obj=6.76/m4.65/95p19.4 bg=6.18/m4.67/95p16.0)  val nll=+3.932(pt=+3.932 fr=+nan obj=+3.999 bg=+3.919) mse=6.43(obj=6.83/m4.60/95p20.0 bg=6.35/m4.82/95p16.4)  lr=3.00e-04  tot=189.7min
  step 100  loss=+3.933  sps=1405
  step 200  loss=+3.777  sps=1446
  step 300  loss=+3.926  sps=1496
  step 400  loss=+3.729  sps=1482
  step 500  loss=+3.788  sps=1462
  step 600  loss=+3.851  sps=1494
  step 700  loss=+3.862  sps=1522
  step 800  loss=+4.173  sps=1543
  step 900  loss=+3.790  sps=1571
  step 1000  loss=+3.759  sps=1597
  step 1100  loss=+3.864  sps=1609
  step 1200  loss=+3.597  sps=1623
  step 1300  loss=+3.677  sps=1604
  step 1400  loss=+4.013  sps=1602
  step 1500  loss=+3.619  sps=1592
  step 1600  loss=+3.819  sps=1592
  step 1700  loss=+3.744  sps=1588
  step 1800  loss=+3.866  sps=1587
  step 1900  loss=+3.802  sps=1579
  step 2000  loss=+3.688  sps=1579
  step 2100  loss=+3.987  sps=1581
  step 2200  loss=+3.762  sps=1572
  step 2300  loss=+3.917  sps=1563
  step 2400  loss=+3.818  sps=1565
